date_m,mySMB,SMB,myHML,HML,myRMW,RMW,myCMA,CMA
196307,-0.014108698397563854,-0.0044,-0.008384346890520478,-0.0089,0.0078266222838797,0.0068,-0.01463443091200473,-0.0123
196308,-0.004774964755720326,-0.0075,0.004786967660350229,0.0168,0.005026998919175421,0.0036,0.0010406364290099918,-0.0034
196309,-0.006042615230345251,-0.0055,0.010989473470802789,0.0008,-0.006201454745655911,-0.0070999999999999,0.004896384641897289,0.0029
196310,-0.007567571778906584,-0.0137,-0.021866362654765763,-0.0014,0.028570731709437334,0.0279999999999999,-0.023931410529262093,-0.0202
196311,-0.008504472051544615,-0.0089,0.01507978526456299,0.0181,-0.006598959610162278,-0.0051,0.01925116736446093,0.0231
196312,-0.016084256081903073,-0.0207,-0.0010043292079747954,-0.0008,-0.0029676914935894763,0.0003,-0.00282747883763893,-0.0004
196401,-0.0029433177634602507,0.0011,0.007548266934290764,0.0147,0.01115061646492679,0.0017,0.005866809161426033,0.0151
196402,0.003960022342441492,0.003,0.027353168281667447,0.0274,-0.003046903817760023,-0.0005,0.011946554967989475,0.009
196403,0.02367817165271907,0.0136,0.023299373660476706,0.0336,-0.006987657402849158,-0.0220999999999999,0.031087141419343604,0.0319
196404,-0.013956675146786168,-0.0159,0.01950189288118262,-0.0058,-0.024495524786876985,-0.0127,-0.012345329259378823,-0.0104
196405,-0.006394876574253517,-0.0064,0.01312355639198516,0.0182,-0.005065926096865911,-0.0016,0.003433769282585866,0.0014
196406,0.004849650541744698,0.0031,0.009443903087070625,0.0063,-0.00866826026353169,-0.0028,-0.00450022456239367,-0.0015
196407,0.009373159263624326,0.0046999999999999,-0.023907043238117646,0.0075,0.011925592023869766,0.0004,0.013959173122140024,0.0194
196408,0.007933828543368854,0.0042,-0.0011182290221214003,0.0008,-0.0037434264167042876,0.0015,-0.0013073311157726641,0.0033
196409,0.0004811027123641301,-0.0033,0.014488668432351658,0.017,-0.012437503726007822,-0.0054,0.0073985782509769435,0.0060999999999999
196410,0.015545540195230852,0.0091,-0.001188453776621471,0.0116999999999999,-0.005728896460188444,-0.0038,0.006772671810504227,0.0043
196411,0.00038446209179606545,-0.0015,-0.03842511381116902,-0.0196,0.0039058332459698474,0.0062,-0.004659511259536373,-0.0026
196412,-0.01112206392916951,-0.0069999999999999,-0.028008574694058205,-0.0248,0.01877516372345489,0.0104,-0.010570173004730468,-0.0148
196501,0.02809837282715707,0.0243999999999999,0.008899150383987156,0.0012,0.01701472962867917,0.0089,-0.00042048575156247714,0.001
196502,0.034458863379769465,0.0329,0.0013179044972991445,0.0011,0.0071480184965308086,0.002,-0.008739174718944698,-0.0065
196503,0.01923421590335643,0.0210999999999999,0.009777059121155597,0.0103,0.002676146840046181,-0.0036,0.002991820840978621,0.0072
196504,0.00979083971555439,0.0111,0.009656557452061454,0.0066,0.006367266761197379,0.0040999999999999,-0.0268155981372572,-0.0227
196505,-0.0006395771770516279,0.0013,-0.0050744681027240675,-0.0161,-0.005034874785111611,-0.004,0.006334482834404195,0.005
196506,-0.03924485497184753,-0.0428,-0.013751863847570656,0.0059,-0.0049554749064473075,0.0021,0.0006451574425987011,0.0037
196507,0.016075063641058863,0.0107,0.010726018743917359,0.0214,-0.012266914831388746,-0.0137,0.004997853934009453,0.0003
196508,0.028680364938561735,0.0271,-0.013876702752858003,-0.0102,0.017594738868247216,0.019,-0.008893746362434458,-0.0074
