date,mySMB,SMB,myHML,HML,myRMW,RMW,myCMA,CMA
19650730,0.016777916472897357,0.010700000000000001,0.019751867733477826,0.021400000000000002,0.0011294948966753399,-0.0137,-0.018715773966777594,0.0003
19650831,0.031312626515920094,0.0271,-0.016584122083610466,-0.0102,0.021548407218819017,0.019,-0.029454861566632122,-0.0074
19650930,0.0033040459879046732,0.0062,0.022658984674045528,-0.0012,0.019105387792506104,-0.0089,-0.02780576186204581,0.008
19651029,0.03314205280092768,0.0347,0.02679944316525918,0.015700000000000002,0.019725250067403388,0.011699999999999999,-0.022092330109386646,-0.006500000000000001
19651130,0.04724241031776496,0.0518,-0.012890901236894835,0.001,-0.0066550215942825924,-0.0101,-0.04682572031368358,-0.009399999999999999
19651231,0.02873146072355654,0.026600000000000002,0.04507787227283347,0.0202,-0.010027691766496625,-0.011399999999999999,-0.00025833331975185295,-0.0053
19660131,0.04770983448042909,0.0467,0.02932605449356844,0.0353,-0.012354698373444026,-0.0282,-0.0013313286270091318,-0.0011
19660228,0.035674168181274925,0.0471,0.008943959601886285,0.0029,0.0023023704063847884,-0.0017000000000000001,-0.019296602875336757,-0.0149
19660331,0.003398917566233558,0.0032,-0.015340676565072642,-0.02,0.0019613355824943737,0.013000000000000001,-0.008514488597984742,0.0006
19660429,0.021824546832326326,0.0334,-0.003373105449300435,-0.004699999999999999,0.01564206877965371,0.0039000000000000003,-0.009593906149359156,-0.0095
19660531,-0.03318299940130536,-0.051,-0.027136077764038702,-0.0161,0.0016686762853317522,0.016399999999999998,0.022149091579191774,-0.0152
19660630,0.01506892429270651,0.0137,0.0065082463849518175,0.0049,0.004342795618027737,0.0015,-0.0038417445960823512,0.0078000000000000005
19660729,0.0014458266839328816,-0.0048,0.010750913197054231,0.009899999999999999,0.0017361589661153004,-0.004,0.002960133874313743,0.0182
19660831,-0.029054961201890356,-0.031400000000000004,0.007962368089835692,0.0044,0.001887294870249412,-0.0012,0.005542999583584285,0.0079
19660930,-0.012323448660761582,-0.011399999999999999,-0.00454525221789746,0.0051,0.0004120167774061094,-0.0179,0.010214380385351702,0.0233
19661031,-0.044313423338184554,-0.0645,0.019923347311015138,0.0268,-0.025250377994799636,-0.0348,0.019338555495515754,0.0424
19661130,0.02359691767344189,0.0347,-0.04539188978148651,-0.04769999999999999,0.0488842002954685,0.0415,-0.10416962729888296,-0.0669
19661230,0.018184930762228237,0.0216,-0.008517335096217875,-0.0132,0.008530739503358526,0.0064,-0.009101721907432648,-0.0045000000000000005
19670131,0.08418184929926588,0.0907,0.024771196373921167,0.0225,-0.0012296803872124118,0.009300000000000001,-0.003566421799607089,-0.0313
19670228,0.016467888657965578,0.0305,-0.012410800016535585,-0.0218,0.026490371609146142,0.020499999999999997,-0.02444569491494947,-0.0096
19670331,0.022182476412937552,0.0173,0.0038186142886720356,0.0054,0.017184790902745703,0.0098,-0.028519976958569712,-0.014499999999999999
19670428,-0.0035423873619936583,0.0042,-0.024141736692511198,-0.0245,0.03100164371219641,0.023799999999999998,-0.006076713875595878,-0.0364
19670531,0.029829289489347766,0.0219,0.007534589322766322,0.0118,-0.013356933912960445,-0.017,-0.006060973841436116,0.0181
19670630,0.04778121438277265,0.0641,0.0002155462538460176,0.0085,0.005287188866941218,-0.0064,-0.038289895090582865,-0.0241
19670731,0.0334111097263407,0.0352,0.025575069461365355,0.027200000000000002,-0.0023989499857064167,0.0052,0.015806549231834652,0.027000000000000003
19670831,0.00567712803349059,0.0067,0.02829305204968511,0.0152,0.0017111649908455868,0.0036,0.004249443452457957,0.014499999999999999
19670929,0.011189714265087934,0.0242,-0.0035869175607571094,-0.0242,0.024535945783654464,0.0023,-0.02904362439092263,-0.0095
